"time, send_bytes, send_device, rcv_device"
1510619735783.0,512.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,512.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,393216.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,512.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,512.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,688128.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,458752.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,393216.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,589824.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,860160.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,716800.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,716800.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,512.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,716800.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,860160.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,640.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
